"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"90","services","src\services\AdminService.java","3","439","Ensure that resources like this Scanner object are closed after use","Error Prone","CloseResource"
"91","services","src\services\AdminService.java","3","439","Local variable 'input' could be declared final","Code Style","LocalVariableCouldBeFinal"
"92","services","src\services\AdminService.java","3","439","Specify a character set instead of relying on the default charset","Best Practices","RelianceOnDefaultCharset"
"93","services","src\services\AdminService.java","2","450","Usage of System.out/err","Best Practices","SystemPrintln"
"94","services","src\services\AdminService.java","3","452","Local variable 'enteredId' could be declared final","Code Style","LocalVariableCouldBeFinal"
"95","services","src\services\AdminService.java","3","457","Avoid variables with short names like br","Code Style","ShortVariable"
"96","services","src\services\AdminService.java","3","457","Ensure that resources like this BufferedReader object are closed after use","Error Prone","CloseResource"
"97","services","src\services\AdminService.java","3","457","Local variable 'br' could be declared final","Code Style","LocalVariableCouldBeFinal"
"98","services","src\services\AdminService.java","3","459","Specify a character set instead of relying on the default charset","Best Practices","RelianceOnDefaultCharset"
"99","services","src\services\AdminService.java","3","464","Local variable 'updatedFile' could be declared final","Code Style","LocalVariableCouldBeFinal"
"100","services","src\services\AdminService.java","3","472","Avoid assignment to line in operand","Error Prone","AssignmentInOperand"
"101","services","src\services\AdminService.java","3","474","Local variable 'data' could be declared final","Code Style","LocalVariableCouldBeFinal"
"102","services","src\services\AdminService.java","3","478","Avoid using literals such as 7 in if statements","Error Prone","AvoidLiteralsInIfCondition"
"103","services","src\services\AdminService.java","3","504","Avoid variables with short names like fw","Code Style","ShortVariable"
"104","services","src\services\AdminService.java","3","504","Ensure that resources like this FileWriter object are closed after use","Error Prone","CloseResource"
"105","services","src\services\AdminService.java","3","504","Local variable 'fw' could be declared final","Code Style","LocalVariableCouldBeFinal"
"106","services","src\services\AdminService.java","3","505","Specify a character set instead of relying on the default charset","Best Practices","RelianceOnDefaultCharset"
"107","services","src\services\AdminService.java","2","517","Usage of System.out/err","Best Practices","SystemPrintln"
"108","services","src\services\AdminService.java","2","530","Usage of System.out/err","Best Practices","SystemPrintln"
"109","services","src\services\AdminService.java","2","540","Usage of System.out/err","Best Practices","SystemPrintln"
"110","services","src\services\AdminService.java","2","553","Usage of System.out/err","Best Practices","SystemPrintln"
"111","services","src\services\AdminService.java","3","569","Ensure that resources like this Scanner object are closed after use","Error Prone","CloseResource"
"112","services","src\services\AdminService.java","3","569","Local variable 'input' could be declared final","Code Style","LocalVariableCouldBeFinal"
"113","services","src\services\AdminService.java","3","569","Specify a character set instead of relying on the default charset","Best Practices","RelianceOnDefaultCharset"
"114","services","src\services\AdminService.java","2","580","Usage of System.out/err","Best Practices","SystemPrintln"
"115","services","src\services\AdminService.java","3","582","Local variable 'enteredId' could be declared final","Code Style","LocalVariableCouldBeFinal"
"116","services","src\services\AdminService.java","3","587","Avoid variables with short names like br","Code Style","ShortVariable"
"117","services","src\services\AdminService.java","3","587","Ensure that resources like this BufferedReader object are closed after use","Error Prone","CloseResource"
"118","services","src\services\AdminService.java","3","587","Local variable 'br' could be declared final","Code Style","LocalVariableCouldBeFinal"
"119","services","src\services\AdminService.java","3","589","Specify a character set instead of relying on the default charset","Best Practices","RelianceOnDefaultCharset"
"120","services","src\services\AdminService.java","3","594","Local variable 'updatedFile' could be declared final","Code Style","LocalVariableCouldBeFinal"
"121","services","src\services\AdminService.java","3","602","Avoid assignment to line in operand","Error Prone","AssignmentInOperand"
"122","services","src\services\AdminService.java","3","604","Local variable 'data' could be declared final","Code Style","LocalVariableCouldBeFinal"
"123","services","src\services\AdminService.java","3","608","Avoid using literals such as 7 in if statements","Error Prone","AvoidLiteralsInIfCondition"
"124","services","src\services\AdminService.java","3","634","Avoid variables with short names like fw","Code Style","ShortVariable"
"125","services","src\services\AdminService.java","3","634","Ensure that resources like this FileWriter object are closed after use","Error Prone","CloseResource"
"126","services","src\services\AdminService.java","3","634","Local variable 'fw' could be declared final","Code Style","LocalVariableCouldBeFinal"
"127","services","src\services\AdminService.java","3","635","Specify a character set instead of relying on the default charset","Best Practices","RelianceOnDefaultCharset"
"128","services","src\services\AdminService.java","2","647","Usage of System.out/err","Best Practices","SystemPrintln"
"129","services","src\services\AdminService.java","2","660","Usage of System.out/err","Best Practices","SystemPrintln"
"130","services","src\services\AdminService.java","2","670","Usage of System.out/err","Best Practices","SystemPrintln"
"131","services","src\services\AdminService.java","2","683","Usage of System.out/err","Best Practices","SystemPrintln"
"132","services","src\services\AdminService.java","3","697","Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.","Code Style","FieldDeclarationsShouldBeAtStartOfClass"
"133","services","src\services\AdminService.java","3","701","Ensure that resources like this Scanner object are closed after use","Error Prone","CloseResource"
"134","services","src\services\AdminService.java","3","701","Local variable 'input' could be declared final","Code Style","LocalVariableCouldBeFinal"
"135","services","src\services\AdminService.java","3","701","Specify a character set instead of relying on the default charset","Best Practices","RelianceOnDefaultCharset"
"136","services","src\services\AdminService.java","2","714","Usage of System.out/err","Best Practices","SystemPrintln"
"137","services","src\services\AdminService.java","2","723","Usage of System.out/err","Best Practices","SystemPrintln"
"138","services","src\services\AdminService.java","2","731","Usage of System.out/err","Best Practices","SystemPrintln"
"1","services","src\services\AuthService.java","4","7","Unused import 'java.util.InputMismatchException'","Code Style","UnnecessaryImport"
"2","services","src\services\AuthService.java","4","9","Unused import 'java.io.FileNotFoundException'","Code Style","UnnecessaryImport"
"3","services","src\services\AuthService.java","3","40","Ensure that resources like this Scanner object are closed after use","Error Prone","CloseResource"
"4","services","src\services\AuthService.java","3","40","Local variable 'input' could be declared final","Code Style","LocalVariableCouldBeFinal"
"5","services","src\services\AuthService.java","3","40","Specify a character set instead of relying on the default charset","Best Practices","RelianceOnDefaultCharset"
"6","services","src\services\AuthService.java","2","43","Usage of System.out/err","Best Practices","SystemPrintln"
"7","services","src\services\AuthService.java","3","44","Local variable 'enteredId' could be declared final","Code Style","LocalVariableCouldBeFinal"
"8","services","src\services\AuthService.java","2","47","Usage of System.out/err","Best Practices","SystemPrintln"
"9","services","src\services\AuthService.java","3","48","Local variable 'enteredPassword' could be declared final","Code Style","LocalVariableCouldBeFinal"
"10","services","src\services\AuthService.java","3","51","Local variable 'hashedPassword' could be declared final","Code Style","LocalVariableCouldBeFinal"
"11","services","src\services\AuthService.java","3","56","Avoid variables with short names like br","Code Style","ShortVariable"
"12","services","src\services\AuthService.java","3","56","Ensure that resources like this BufferedReader object are closed after use","Error Prone","CloseResource"
"13","services","src\services\AuthService.java","3","56","Local variable 'br' could be declared final","Code Style","LocalVariableCouldBeFinal"
"14","services","src\services\AuthService.java","3","58","Specify a character set instead of relying on the default charset","Best Practices","RelianceOnDefaultCharset"
"15","services","src\services\AuthService.java","3","58","The String literal 'data/users.txt' appears 4 times in this file; the first occurrence is on line 58","Error Prone","AvoidDuplicateLiterals"
"16","services","src\services\AuthService.java","3","64","Local variable 'updatedFile' could be declared final","Code Style","LocalVariableCouldBeFinal"
"17","services","src\services\AuthService.java","3","65","The initializer for variable 'failedAttempts' is never used (overwritten on line 88)","Best Practices","UnusedAssignment"
"18","services","src\services\AuthService.java","3","68","Avoid assignment to line in operand","Error Prone","AssignmentInOperand"
"19","services","src\services\AuthService.java","3","71","Local variable 'data' could be declared final","Code Style","LocalVariableCouldBeFinal"
"20","services","src\services\AuthService.java","3","73","Avoid using literals such as 7 in if statements","Error Prone","AvoidLiteralsInIfCondition"
"21","services","src\services\AuthService.java","3","80","Local variable 'storedId' could be declared final","Code Style","LocalVariableCouldBeFinal"
"22","services","src\services\AuthService.java","3","83","Avoid excessively long variable names like storedPasswordHash","Code Style","LongVariable"
"23","services","src\services\AuthService.java","3","83","Local variable 'storedPasswordHash' could be declared final","Code Style","LocalVariableCouldBeFinal"
"24","services","src\services\AuthService.java","3","85","Local variable 'locked' could be declared final","Code Style","LocalVariableCouldBeFinal"
"25","services","src\services\AuthService.java","2","101","Usage of System.out/err","Best Practices","SystemPrintln"
"26","services","src\services\AuthService.java","2","105","Usage of System.out/err","Best Practices","SystemPrintln"
"27","services","src\services\AuthService.java","2","120","Usage of System.out/err","Best Practices","SystemPrintln"
"28","services","src\services\AuthService.java","2","136","Usage of System.out/err","Best Practices","SystemPrintln"
"29","services","src\services\AuthService.java","2","167","Usage of System.out/err","Best Practices","SystemPrintln"
"30","services","src\services\AuthService.java","3","189","Avoid variables with short names like fw","Code Style","ShortVariable"
"31","services","src\services\AuthService.java","3","189","Ensure that resources like this FileWriter object are closed after use","Error Prone","CloseResource"
"32","services","src\services\AuthService.java","3","189","Local variable 'fw' could be declared final","Code Style","LocalVariableCouldBeFinal"
"33","services","src\services\AuthService.java","3","190","Specify a character set instead of relying on the default charset","Best Practices","RelianceOnDefaultCharset"
"34","services","src\services\AuthService.java","2","208","Usage of System.out/err","Best Practices","SystemPrintln"
"35","services","src\services\AuthService.java","3","223","Ensure that resources like this Scanner object are closed after use","Error Prone","CloseResource"
"36","services","src\services\AuthService.java","3","223","Local variable 'input' could be declared final","Code Style","LocalVariableCouldBeFinal"
"37","services","src\services\AuthService.java","3","223","Specify a character set instead of relying on the default charset","Best Practices","RelianceOnDefaultCharset"
"38","services","src\services\AuthService.java","2","225","Usage of System.out/err","Best Practices","SystemPrintln"
"39","services","src\services\AuthService.java","3","226","Local variable 'name' could be declared final","Code Style","LocalVariableCouldBeFinal"
"40","services","src\services\AuthService.java","2","228","Usage of System.out/err","Best Practices","SystemPrintln"
"41","services","src\services\AuthService.java","3","229","Avoid variables with short names like id","Code Style","ShortVariable"
"42","services","src\services\AuthService.java","3","229","Local variable 'id' could be declared final","Code Style","LocalVariableCouldBeFinal"
"43","services","src\services\AuthService.java","2","231","Usage of System.out/err","Best Practices","SystemPrintln"
"44","services","src\services\AuthService.java","3","232","Local variable 'phone' could be declared final","Code Style","LocalVariableCouldBeFinal"
"45","services","src\services\AuthService.java","2","234","Usage of System.out/err","Best Practices","SystemPrintln"
"46","services","src\services\AuthService.java","2","239","Usage of System.out/err","Best Practices","SystemPrintln"
"47","services","src\services\AuthService.java","2","240","Usage of System.out/err","Best Practices","SystemPrintln"
"48","services","src\services\AuthService.java","3","245","Local variable 'hashedPassword' could be declared final","Code Style","LocalVariableCouldBeFinal"
"49","services","src\services\AuthService.java","3","250","Avoid variables with short names like br","Code Style","ShortVariable"
"50","services","src\services\AuthService.java","3","250","Ensure that resources like this BufferedReader object are closed after use","Error Prone","CloseResource"
"51","services","src\services\AuthService.java","3","250","Local variable 'br' could be declared final","Code Style","LocalVariableCouldBeFinal"
"52","services","src\services\AuthService.java","3","250","Specify a character set instead of relying on the default charset","Best Practices","RelianceOnDefaultCharset"
"53","services","src\services\AuthService.java","3","252","Avoid assignment to line in operand","Error Prone","AssignmentInOperand"
"54","services","src\services\AuthService.java","3","254","Local variable 'data' could be declared final","Code Style","LocalVariableCouldBeFinal"
"55","services","src\services\AuthService.java","3","256","Avoid using literals such as 7 in if statements","Error Prone","AvoidLiteralsInIfCondition"
"56","services","src\services\AuthService.java","3","262","Local variable 'storedId' could be declared final","Code Style","LocalVariableCouldBeFinal"
"57","services","src\services\AuthService.java","2","266","Usage of System.out/err","Best Practices","SystemPrintln"
"58","services","src\services\AuthService.java","3","278","Avoid variables with short names like fw","Code Style","ShortVariable"
"59","services","src\services\AuthService.java","3","278","Ensure that resources like this FileWriter object are closed after use","Error Prone","CloseResource"
"60","services","src\services\AuthService.java","3","278","Local variable 'fw' could be declared final","Code Style","LocalVariableCouldBeFinal"
"61","services","src\services\AuthService.java","3","278","Specify a character set instead of relying on the default charset","Best Practices","RelianceOnDefaultCharset"
"62","services","src\services\AuthService.java","2","285","Usage of System.out/err","Best Practices","SystemPrintln"
"63","services","src\services\AuthService.java","2","296","Usage of System.out/err","Best Practices","SystemPrintln"
"64","services","src\services\AuthService.java","2","305","Usage of System.out/err","Best Practices","SystemPrintln"
"65","services","src\services\AuthService.java","3","315","Parameter 'enteredId' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"66","services","src\services\AuthService.java","3","316","Parameter 'enteredPassword' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"67","services","src\services\AuthService.java","3","317","Parameter 'storedId' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"68","services","src\services\AuthService.java","3","318","Avoid excessively long variable names like storedPasswordHash","Code Style","LongVariable"
"69","services","src\services\AuthService.java","3","318","Parameter 'storedPasswordHash' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"70","services","src\services\AuthService.java","3","321","Local variable 'hashedPassword' could be declared final","Code Style","LocalVariableCouldBeFinal"
"1","services","src\services\FileService.java","3","17","Avoid variables with short names like br","Code Style","ShortVariable"
"2","services","src\services\FileService.java","3","17","Ensure that resources like this BufferedReader object are closed after use","Error Prone","CloseResource"
"3","services","src\services\FileService.java","3","17","Local variable 'br' could be declared final","Code Style","LocalVariableCouldBeFinal"
"4","services","src\services\FileService.java","3","19","Specify a character set instead of relying on the default charset","Best Practices","RelianceOnDefaultCharset"
"5","services","src\services\FileService.java","3","25","Avoid assignment to line in operand","Error Prone","AssignmentInOperand"
"6","services","src\services\FileService.java","2","26","Usage of System.out/err","Best Practices","SystemPrintln"
"1","services","src\services\PasswordPolicyService.java","3","8","Missing commented default access modifier on field 'minLength'","Code Style","CommentDefaultAccessModifier"
"2","services","src\services\PasswordPolicyService.java","3","9","Missing commented default access modifier on field 'minUppercase'","Code Style","CommentDefaultAccessModifier"
"3","services","src\services\PasswordPolicyService.java","3","10","Missing commented default access modifier on field 'minLowercase'","Code Style","CommentDefaultAccessModifier"
"4","services","src\services\PasswordPolicyService.java","3","11","Missing commented default access modifier on field 'minDigits'","Code Style","CommentDefaultAccessModifier"
"5","services","src\services\PasswordPolicyService.java","3","12","Missing commented default access modifier on field 'minSpecial'","Code Style","CommentDefaultAccessModifier"
"6","services","src\services\PasswordPolicyService.java","3","15","Parameter 'password' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"7","services","src\services\PasswordPolicyService.java","3","20","A method should have only one exit point, and that should be the last statement in the method","Code Style","OnlyOneReturn"
"8","services","src\services\PasswordPolicyService.java","3","30","Local variable 'c' could be declared final","Code Style","LocalVariableCouldBeFinal"
"9","services","src\services\PasswordPolicyService.java","3","72","Ensure that resources like this Scanner object are closed after use","Error Prone","CloseResource"
"10","services","src\services\PasswordPolicyService.java","3","72","Local variable 'input' could be declared final","Code Style","LocalVariableCouldBeFinal"
"11","services","src\services\PasswordPolicyService.java","3","72","Specify a character set instead of relying on the default charset","Best Practices","RelianceOnDefaultCharset"
"12","services","src\services\PasswordPolicyService.java","2","76","Usage of System.out/err","Best Practices","SystemPrintln"
"13","services","src\services\PasswordPolicyService.java","2","83","Usage of System.out/err","Best Practices","SystemPrintln"
"14","services","src\services\PasswordPolicyService.java","2","90","Usage of System.out/err","Best Practices","SystemPrintln"
"15","services","src\services\PasswordPolicyService.java","2","97","Usage of System.out/err","Best Practices","SystemPrintln"
"16","services","src\services\PasswordPolicyService.java","2","104","Usage of System.out/err","Best Practices","SystemPrintln"
"17","services","src\services\PasswordPolicyService.java","2","113","Usage of System.out/err","Best Practices","SystemPrintln"
"18","services","src\services\PasswordPolicyService.java","2","121","Usage of System.out/err","Best Practices","SystemPrintln"
"1","services","src\services\ProfileService.java","3","18","Avoid variables with short names like br","Code Style","ShortVariable"
"2","services","src\services\ProfileService.java","3","18","Ensure that resources like this BufferedReader object are closed after use","Error Prone","CloseResource"
"3","services","src\services\ProfileService.java","3","18","Local variable 'br' could be declared final","Code Style","LocalVariableCouldBeFinal"
"4","services","src\services\ProfileService.java","3","18","Specify a character set instead of relying on the default charset","Best Practices","RelianceOnDefaultCharset"
"5","services","src\services\ProfileService.java","3","25","Avoid assignment to line in operand","Error Prone","AssignmentInOperand"
"6","services","src\services\ProfileService.java","3","27","Local variable 'data' could be declared final","Code Style","LocalVariableCouldBeFinal"
"7","services","src\services\ProfileService.java","3","30","Avoid using literals such as 7 in if statements","Error Prone","AvoidLiteralsInIfCondition"
"8","services","src\services\ProfileService.java","3","36","Local variable 'storedId' could be declared final","Code Style","LocalVariableCouldBeFinal"
"9","services","src\services\ProfileService.java","2","43","Usage of System.out/err","Best Practices","SystemPrintln"
"10","services","src\services\ProfileService.java","2","45","Usage of System.out/err","Best Practices","SystemPrintln"
"11","services","src\services\ProfileService.java","2","47","Usage of System.out/err","Best Practices","SystemPrintln"
"12","services","src\services\ProfileService.java","2","49","Usage of System.out/err","Best Practices","SystemPrintln"
"13","services","src\services\ProfileService.java","2","51","Usage of System.out/err","Best Practices","SystemPrintln"
"14","services","src\services\ProfileService.java","2","66","Usage of System.out/err","Best Practices","SystemPrintln"
"15","services","src\services\ProfileService.java","2","74","Usage of System.out/err","Best Practices","SystemPrintln"
"16","services","src\services\ProfileService.java","2","82","Usage of System.out/err","Best Practices","SystemPrintln"
"17","services","src\services\ProfileService.java","3","94","Ensure that resources like this Scanner object are closed after use","Error Prone","CloseResource"
"18","services","src\services\ProfileService.java","3","94","Local variable 'input' could be declared final","Code Style","LocalVariableCouldBeFinal"
"19","services","src\services\ProfileService.java","3","94","Specify a character set instead of relying on the default charset","Best Practices","RelianceOnDefaultCharset"
"20","services","src\services\ProfileService.java","2","96","Usage of System.out/err","Best Practices","SystemPrintln"
"21","services","src\services\ProfileService.java","2","98","Usage of System.out/err","Best Practices","SystemPrintln"
"22","services","src\services\ProfileService.java","2","99","Usage of System.out/err","Best Practices","SystemPrintln"
"23","services","src\services\ProfileService.java","2","100","Usage of System.out/err","Best Practices","SystemPrintln"
"24","services","src\services\ProfileService.java","2","102","Usage of System.out/err","Best Practices","SystemPrintln"
"25","services","src\services\ProfileService.java","3","104","Local variable 'choice' could be declared final","Code Style","LocalVariableCouldBeFinal"
"26","services","src\services\ProfileService.java","2","118","Usage of System.out/err","Best Practices","SystemPrintln"
"27","services","src\services\ProfileService.java","2","126","Usage of System.out/err","Best Practices","SystemPrintln"
"28","services","src\services\ProfileService.java","2","134","Usage of System.out/err","Best Practices","SystemPrintln"
"29","services","src\services\ProfileService.java","2","138","Usage of System.out/err","Best Practices","SystemPrintln"
"30","services","src\services\ProfileService.java","2","146","Usage of System.out/err","Best Practices","SystemPrintln"
"31","services","src\services\ProfileService.java","3","154","Avoid variables with short names like br","Code Style","ShortVariable"
"32","services","src\services\ProfileService.java","3","154","Ensure that resources like this BufferedReader object are closed after use","Error Prone","CloseResource"
"33","services","src\services\ProfileService.java","3","154","Local variable 'br' could be declared final","Code Style","LocalVariableCouldBeFinal"
"34","services","src\services\ProfileService.java","3","156","Specify a character set instead of relying on the default charset","Best Practices","RelianceOnDefaultCharset"
"35","services","src\services\ProfileService.java","3","161","Local variable 'updatedFile' could be declared final","Code Style","LocalVariableCouldBeFinal"
"36","services","src\services\ProfileService.java","3","169","Avoid assignment to line in operand","Error Prone","AssignmentInOperand"
"37","services","src\services\ProfileService.java","3","171","Local variable 'data' could be declared final","Code Style","LocalVariableCouldBeFinal"
"38","services","src\services\ProfileService.java","3","174","Avoid using literals such as 7 in if statements","Error Prone","AvoidLiteralsInIfCondition"
"39","services","src\services\ProfileService.java","3","180","Local variable 'storedId' could be declared final","Code Style","LocalVariableCouldBeFinal"
"40","services","src\services\ProfileService.java","3","211","Avoid variables with short names like fw","Code Style","ShortVariable"
"41","services","src\services\ProfileService.java","3","211","Ensure that resources like this FileWriter object are closed after use","Error Prone","CloseResource"
"42","services","src\services\ProfileService.java","3","211","Local variable 'fw' could be declared final","Code Style","LocalVariableCouldBeFinal"
"43","services","src\services\ProfileService.java","3","211","Specify a character set instead of relying on the default charset","Best Practices","RelianceOnDefaultCharset"
"44","services","src\services\ProfileService.java","2","218","Usage of System.out/err","Best Practices","SystemPrintln"
"45","services","src\services\ProfileService.java","2","224","Usage of System.out/err","Best Practices","SystemPrintln"
"46","services","src\services\ProfileService.java","2","231","Usage of System.out/err","Best Practices","SystemPrintln"
"47","services","src\services\ProfileService.java","2","237","Usage of System.out/err","Best Practices","SystemPrintln"
"1","services","src\services\ShipmentService.java","4","10","Unnecessary import from the current package 'services.AuthService'","Code Style","UnnecessaryImport"
"2","services","src\services\ShipmentService.java","3","23","Ensure that resources like this Scanner object are closed after use","Error Prone","CloseResource"
"3","services","src\services\ShipmentService.java","3","23","Local variable 'input' could be declared final","Code Style","LocalVariableCouldBeFinal"
"4","services","src\services\ShipmentService.java","3","23","Specify a character set instead of relying on the default charset","Best Practices","RelianceOnDefaultCharset"
"5","services","src\services\ShipmentService.java","2","25","Usage of System.out/err","Best Practices","SystemPrintln"
"6","services","src\services\ShipmentService.java","3","25","The String literal 'Enter Shipment ID: ' appears 4 times in this file; the first occurrence is on line 25","Error Prone","AvoidDuplicateLiterals"
"7","services","src\services\ShipmentService.java","3","26","Local variable 'shipmentId' could be declared final","Code Style","LocalVariableCouldBeFinal"
"8","services","src\services\ShipmentService.java","3","29","Local variable 'customerId' could be declared final","Code Style","LocalVariableCouldBeFinal"
"9","services","src\services\ShipmentService.java","2","32","Usage of System.out/err","Best Practices","SystemPrintln"
"10","services","src\services\ShipmentService.java","3","33","Local variable 'source' could be declared final","Code Style","LocalVariableCouldBeFinal"
"11","services","src\services\ShipmentService.java","2","35","Usage of System.out/err","Best Practices","SystemPrintln"
"12","services","src\services\ShipmentService.java","3","36","Local variable 'destination' could be declared final","Code Style","LocalVariableCouldBeFinal"
"13","services","src\services\ShipmentService.java","3","47","Avoid variables with short names like fw","Code Style","ShortVariable"
"14","services","src\services\ShipmentService.java","3","47","Ensure that resources like this FileWriter object are closed after use","Error Prone","CloseResource"
"15","services","src\services\ShipmentService.java","3","47","Local variable 'fw' could be declared final","Code Style","LocalVariableCouldBeFinal"
"16","services","src\services\ShipmentService.java","3","48","Specify a character set instead of relying on the default charset","Best Practices","RelianceOnDefaultCharset"
"17","services","src\services\ShipmentService.java","3","48","The String literal 'data/shipments.txt' appears 7 times in this file; the first occurrence is on line 48","Error Prone","AvoidDuplicateLiterals"
"18","services","src\services\ShipmentService.java","2","55","Usage of System.out/err","Best Practices","SystemPrintln"
"19","services","src\services\ShipmentService.java","2","64","Usage of System.out/err","Best Practices","SystemPrintln"
"20","services","src\services\ShipmentService.java","2","73","Usage of System.out/err","Best Practices","SystemPrintln"
"21","services","src\services\ShipmentService.java","3","85","Ensure that resources like this Scanner object are closed after use","Error Prone","CloseResource"
"22","services","src\services\ShipmentService.java","3","85","Local variable 'input' could be declared final","Code Style","LocalVariableCouldBeFinal"
"23","services","src\services\ShipmentService.java","3","85","Specify a character set instead of relying on the default charset","Best Practices","RelianceOnDefaultCharset"
"24","services","src\services\ShipmentService.java","2","87","Usage of System.out/err","Best Practices","SystemPrintln"
"25","services","src\services\ShipmentService.java","3","89","Local variable 'shipmentId' could be declared final","Code Style","LocalVariableCouldBeFinal"
"26","services","src\services\ShipmentService.java","3","93","Avoid variables with short names like br","Code Style","ShortVariable"
"27","services","src\services\ShipmentService.java","3","93","Ensure that resources like this BufferedReader object are closed after use","Error Prone","CloseResource"
"28","services","src\services\ShipmentService.java","3","93","Local variable 'br' could be declared final","Code Style","LocalVariableCouldBeFinal"
"29","services","src\services\ShipmentService.java","3","93","Specify a character set instead of relying on the default charset","Best Practices","RelianceOnDefaultCharset"
"30","services","src\services\ShipmentService.java","3","100","Avoid assignment to line in operand","Error Prone","AssignmentInOperand"
"31","services","src\services\ShipmentService.java","3","102","Local variable 'data' could be declared final","Code Style","LocalVariableCouldBeFinal"
"32","services","src\services\ShipmentService.java","3","105","Avoid using literals such as 6 in if statements","Error Prone","AvoidLiteralsInIfCondition"
"33","services","src\services\ShipmentService.java","3","111","Local variable 'storedShipmentId' could be declared final","Code Style","LocalVariableCouldBeFinal"
"34","services","src\services\ShipmentService.java","3","114","Local variable 'status' could be declared final","Code Style","LocalVariableCouldBeFinal"
"35","services","src\services\ShipmentService.java","2","122","Usage of System.out/err","Best Practices","SystemPrintln"
"36","services","src\services\ShipmentService.java","2","137","Usage of System.out/err","Best Practices","SystemPrintln"
"37","services","src\services\ShipmentService.java","2","145","Usage of System.out/err","Best Practices","SystemPrintln"
"38","services","src\services\ShipmentService.java","3","145","The String literal 'Shipment file not found.' appears 4 times in this file; the first occurrence is on line 145","Error Prone","AvoidDuplicateLiterals"
"39","services","src\services\ShipmentService.java","3","147","The String literal 'Shipment file missing' appears 4 times in this file; the first occurrence is on line 147","Error Prone","AvoidDuplicateLiterals"
"40","services","src\services\ShipmentService.java","2","153","Usage of System.out/err","Best Practices","SystemPrintln"
"41","services","src\services\ShipmentService.java","3","166","Ensure that resources like this Scanner object are closed after use","Error Prone","CloseResource"
"42","services","src\services\ShipmentService.java","3","166","Local variable 'input' could be declared final","Code Style","LocalVariableCouldBeFinal"
"43","services","src\services\ShipmentService.java","3","166","Specify a character set instead of relying on the default charset","Best Practices","RelianceOnDefaultCharset"
"44","services","src\services\ShipmentService.java","2","168","Usage of System.out/err","Best Practices","SystemPrintln"
"45","services","src\services\ShipmentService.java","3","170","Local variable 'shipmentId' could be declared final","Code Style","LocalVariableCouldBeFinal"
"46","services","src\services\ShipmentService.java","2","172","Usage of System.out/err","Best Practices","SystemPrintln"
"47","services","src\services\ShipmentService.java","3","174","Local variable 'driverId' could be declared final","Code Style","LocalVariableCouldBeFinal"
"48","services","src\services\ShipmentService.java","2","176","Usage of System.out/err","Best Practices","SystemPrintln"
"49","services","src\services\ShipmentService.java","2","178","Usage of System.out/err","Best Practices","SystemPrintln"
"50","services","src\services\ShipmentService.java","2","179","Usage of System.out/err","Best Practices","SystemPrintln"
"51","services","src\services\ShipmentService.java","2","180","Usage of System.out/err","Best Practices","SystemPrintln"
"52","services","src\services\ShipmentService.java","2","182","Usage of System.out/err","Best Practices","SystemPrintln"
"53","services","src\services\ShipmentService.java","3","184","Local variable 'statusChoice' could be declared final","Code Style","LocalVariableCouldBeFinal"
"54","services","src\services\ShipmentService.java","3","219","Avoid variables with short names like br","Code Style","ShortVariable"
"55","services","src\services\ShipmentService.java","3","219","Ensure that resources like this BufferedReader object are closed after use","Error Prone","CloseResource"
"56","services","src\services\ShipmentService.java","3","219","Local variable 'br' could be declared final","Code Style","LocalVariableCouldBeFinal"
"57","services","src\services\ShipmentService.java","3","219","Specify a character set instead of relying on the default charset","Best Practices","RelianceOnDefaultCharset"
"58","services","src\services\ShipmentService.java","3","221","Local variable 'updatedFile' could be declared final","Code Style","LocalVariableCouldBeFinal"
"59","services","src\services\ShipmentService.java","3","228","Avoid assignment to line in operand","Error Prone","AssignmentInOperand"
"60","services","src\services\ShipmentService.java","3","230","Local variable 'data' could be declared final","Code Style","LocalVariableCouldBeFinal"
"61","services","src\services\ShipmentService.java","3","233","Avoid using literals such as 6 in if statements","Error Prone","AvoidLiteralsInIfCondition"
"62","services","src\services\ShipmentService.java","3","260","Avoid variables with short names like fw","Code Style","ShortVariable"
"63","services","src\services\ShipmentService.java","3","260","Ensure that resources like this FileWriter object are closed after use","Error Prone","CloseResource"
"64","services","src\services\ShipmentService.java","3","260","Local variable 'fw' could be declared final","Code Style","LocalVariableCouldBeFinal"
"65","services","src\services\ShipmentService.java","3","260","Specify a character set instead of relying on the default charset","Best Practices","RelianceOnDefaultCharset"
"66","services","src\services\ShipmentService.java","2","268","Usage of System.out/err","Best Practices","SystemPrintln"
"67","services","src\services\ShipmentService.java","2","283","Usage of System.out/err","Best Practices","SystemPrintln"
"68","services","src\services\ShipmentService.java","2","291","Usage of System.out/err","Best Practices","SystemPrintln"
"69","services","src\services\ShipmentService.java","2","299","Usage of System.out/err","Best Practices","SystemPrintln"
"70","services","src\services\ShipmentService.java","2","307","Usage of System.out/err","Best Practices","SystemPrintln"
